picture,code
/pages/loginpage/aqua.jpg," <style>

      body{
        background-color: aqua;
      }
        .login{
            border: 1px solid black;
            width: 300px;
            text-align: center;
            height: 300px;
            border-radius: 10px;
        }

        .login button{
            width: 180px;

        }

        .contain{
            position: absolute;
            top:30%;
            left: 40%;
            
        }
    <\style>
   
        <div class=""contain"">
            <div class=""login"">
                <br><br>
                <h4>LOGIN<\h4>
                <br>
                    <input type=""text"">
                    <br><br>
                    <input type=""text"">
                    <br><br>
                    <button>Login<\button>
                    <br><br>
                    <a href=""#"">Signup?<\a>
                <\div>
        <\div>
   "
/pages/loginpage/blueloginpage.jpg," <style>

      body{
        background-color: blue;
      }
        .login{
            border: 1px solid black;
            width: 300px;
            text-align: center;
            height: 300px;
            border-radius: 10px;
        }

        .login button{
            width: 180px;

        }

        .contain{
            position: absolute;
            top:30%;
            left: 40%;
            
        }
    <\style>
   
        <div class=""contain"">
            <div class=""login"">
                <br><br>
                <h4>LOGIN<\h4>
                <br>
                    <input type=""text"">
                    <br><br>
                    <input type=""text"">
                    <br><br>
                    <button>Login<\button>
                    <br><br>
                    <a href=""#"">Signup?<\a>
                <\div>
        <\div>"
/pages/loginpage/bluevoilet.jpg," <style>

      body{
        background-color: blueviolet;
      }
        .login{
            border: 1px solid black;
            width: 300px;
            text-align: center;
            height: 300px;
            border-radius: 10px;
        }

        .login button{
            width: 180px;

        }

        .contain{
            position: absolute;
            top:30%;
            left: 40%;
            
        }
    <\style>
   
        <div class=""contain"">
            <div class=""login"">
                <br><br>
                <h4>LOGIN<\h4>
                <br>
                    <input type=""text"">
                    <br><br>
                    <input type=""text"">
                    <br><br>
                    <button>Login<\button>
                    <br><br>
                    <a href=""#"">Signup?<\a>
                <\div>
        <\div>
"
/pages/loginpage/brown.jpg,"<style>

      body{
        background-color: brown;
      }
        .login{
            border: 1px solid black;
            width: 300px;
            text-align: center;
            height: 300px;
            border-radius: 10px;
        }

        .login button{
            width: 180px;

        }

        .contain{
            position: absolute;
            top:30%;
            left: 40%;
            
        }
    <\style>
   
        <div class=""contain"">
            <div class=""login"">
                <br><br>
                <h4>LOGIN<\h4>
                <br>
                    <input type=""text"">
                    <br><br>
                    <input type=""text"">
                    <br><br>
                    <button>Login<\button>
                    <br><br>
                    <a href=""#"">Signup?<\a>
                <\div>
        <\div>"
/pages/loginpage/burlywood.jpg," <style>

      body{
        background-color: burlywood;
      }
        .login{
            border: 1px solid black;
            width: 300px;
            text-align: center;
            height: 300px;
            border-radius: 10px;
        }

        .login button{
            width: 180px;

        }

        .contain{
            position: absolute;
            top:30%;
            left: 40%;
            
        }
    <\style>
   
        <div class=""contain"">
            <div class=""login"">
                <br><br>
                <h4>LOGIN<\h4>
                <br>
                    <input type=""text"">
                    <br><br>
                    <input type=""text"">
                    <br><br>
                    <button>Login<\button>
                    <br><br>
                    <a href=""#"">Signup?<\a>
                <\div>
        <\div>
"
/pages/loginpage/chartreusewithblackbordered.jpg,"<style>

      body{
        background-color: chartreuse;
      }
        .login{
            border: 1px solid black;
            width: 300px;
            text-align: center;
            height: 300px;
            border-radius: 10px;
        }

        .login button{
            width: 180px;

        }

        .contain{
            position: absolute;
            top:30%;
            left: 40%;
            
        }
    <\style>
   
        <div class=""contain"">
            <div class=""login"">
                <br><br>
                <h4>LOGIN<\h4>
                <br>
                    <input type=""text"">
                    <br><br>
                    <input type=""text"">
                    <br><br>
                    <button>Login<\button>
                    <br><br>
                    <a href=""#"">Signup?<\a>
                <\div>
        <\div>
   "
/pages/loginpage/chartreusewithwhitebordered.jpg,"<style>

      body{
        background-color: chartreuse;
      }
        .login{
            border: 1px solid rgb(255, 255, 255);
            width: 300px;
            text-align: center;
            height: 300px;
            border-radius: 10px;
        }

        .login button{
            width: 180px;

        }

        .contain{
            position: absolute;
            top:30%;
            left: 40%;
            
            
        }
    <\style>
   
        <div class=""contain"">
            <div class=""login"">
                <br><br>
                <h4>LOGIN<\h4>
                <br>
                    <input type=""text"">
                    <br><br>
                    <input type=""text"">
                    <br><br>
                    <button>Login<\button>
                    <br><br>
                    <a href=""#"">Signup?<\a>
                <\div>
        <\div>"
/pages/loginpage/chocolate.jpg,"<style>

      body{
        background-color: chocolate;
      }
        .login{
            border: 1px solid rgb(0, 0, 0);
            width: 300px;
            text-align: center;
            height: 300px;
            border-radius: 10px;
        }

        .login button{
            width: 180px;

        }

        .contain{
            position: absolute;
            top:30%;
            left: 40%;
            
            
        }
    <\style>
   
        <div class=""contain"">
            <div class=""login"">
                <br><br>
                <h4>LOGIN<\h4>
                <br>
                    <input type=""text"">
                    <br><br>
                    <input type=""text"">
                    <br><br>
                    <button>Login<\button>
                    <br><br>
                    <a href=""#"">Signup?<\a>
                <\div>
        <\div>"
/pages/loginpage/coral.jpg,"<style>

      body{
        background-color: coral;
      }
        .login{
            border: 1px solid rgb(0, 0, 0);
            width: 300px;
            text-align: center;
            height: 300px;
            border-radius: 10px;
        }

        .login button{
            width: 180px;

        }

        .contain{
            position: absolute;
            top:30%;
            left: 40%;
            
            
        }
    <\style>
   
        <div class=""contain"">
            <div class=""login"">
                <br><br>
                <h4>LOGIN<\h4>
                <br>
                    <input type=""text"">
                    <br><br>
                    <input type=""text"">
                    <br><br>
                    <button>Login<\button>
                    <br><br>
                    <a href=""#"">Signup?<\a>
                <\div>
        <\div>"
/pages/loginpage/darkblue.jpg,"<style>

      body{
        background-color: darkblue;
      }
        .login{
            border: 1px solid rgb(0, 0, 0);
            width: 300px;
            text-align: center;
            height: 300px;
            border-radius: 10px;
        }

        .login button{
            width: 180px;

        }

        .contain{
            position: absolute;
            top:30%;
            left: 40%;
            
            
        }
    <\style>
   
        <div class=""contain"">
            <div class=""login"">
                <br><br>
                <h4>LOGIN<\h4>
                <br>
                    <input type=""text"">
                    <br><br>
                    <input type=""text"">
                    <br><br>
                    <button>Login<\button>
                    <br><br>
                    <a href=""#"">Signup?<\a>
                <\div>
        <\div>"
